id	filename	md5	size	state
09929f3e-e218-4dcd-884e-c90430f86076	c15acc51-9aba-41ff-8ba8-8bce98e02883.rna_seq.augmented_star_gene_counts.tsv	d1bd95feb3838eb7ac49acb83451c132	4236227	released
19ca45c6-6b4c-4832-aa8e-c0fe0228e48b	cc1c9f06-4108-4972-bc54-852b280042e7.rna_seq.augmented_star_gene_counts.tsv	6b2b55691264475a5deab9fcdbe18c66	4226838	released
d0ef1381-1087-4136-aca1-fef6f672c9c8	2a8398e2-da17-42e9-9231-59c289708591.rna_seq.augmented_star_gene_counts.tsv	423bbc74d81e523837fd1016a4b5304b	4201094	released
0a524cb5-b780-4acc-a243-726e3a5bd9f8	1667c69b-ea9f-482a-b4b7-be5b27032f51.rna_seq.augmented_star_gene_counts.tsv	70cc3d025a70ceec9102f980dfeb077b	4217262	released
fb045751-dec0-4323-8a34-5f74f9c43ddc	68e36a61-182e-4dd3-ab3e-2d699edcecb3.rna_seq.augmented_star_gene_counts.tsv	b47f8826d8f7c0409fdbe55989e6fbe0	4225104	released
1c4443f1-df34-46a7-90aa-7921ec4cf627	ac1348f1-917c-4400-94d6-9b069ac8df30.rna_seq.augmented_star_gene_counts.tsv	a78d8ce668fdd5a75dad592412e4b890	4218719	released
16a1869c-00cf-4041-ac21-774e03eef72e	245c580b-ac5e-483f-9910-209360d54923.rna_seq.augmented_star_gene_counts.tsv	d50b5139db080353e75db1ca92f57c5b	4219293	released
a0689e4c-51c3-43d3-8481-c89061b4e814	83130518-c6ba-4f55-9286-12062ccf0584.rna_seq.augmented_star_gene_counts.tsv	ba20fbcb9bba28c25f5d2568feed885a	4256110	released
98e455fc-0bc9-475c-9c5f-290cb7068df4	b27870b5-714e-4e18-9e53-4fd9f941f2ec.rna_seq.augmented_star_gene_counts.tsv	1077643833a82e8d91dc9c1a33c95a1f	4218344	released
ba84142a-8eff-4f70-b292-fe86ca0b1b0c	30eec36e-2dd6-49da-b987-673bc34ee8c0.rna_seq.augmented_star_gene_counts.tsv	942706732849e2bc96ffaf4ae8572156	4215328	released
28189051-9228-42e9-a7d1-e15ffecfe994	3e38f148-0992-492f-b203-2830d97c20ca.rna_seq.augmented_star_gene_counts.tsv	8cadcac40120b73a3d1339c58ccb79ac	4220523	released
